probe,coef_verify,significant,null
ENSG00000167615,-0.4368508721856882,Yes,FALSE
ENSG00000142102,-0.6998462462541727,Yes,FALSE
ENSG00000187535,-0.4249449863040801,Yes,FALSE
ENSG00000132274,-0.4329105131696017,Yes,FALSE
ENSG00000159167,0.748167495161595,Yes,FALSE
ENSG00000096433,-0.4238039949597665,Yes,FALSE
ENSG00000162777,-0.3054022764327209,Yes,FALSE
ENSG00000070961,0.40049854743364566,Yes,FALSE
ENSG00000130821,0.9813666324074338,Yes,FALSE
ENSG00000137558,0.7970204005392109,Yes,FALSE
ENSG00000168028,0.26137960657639375,Yes,FALSE
ENSG00000169903,-1.7591800527035848,Yes,FALSE
ENSG00000122884,0.3952166948573939,Yes,FALSE
ENSG00000135773,-1.0314602850516326,Yes,FALSE
ENSG00000105887,0.2396096823101985,Yes,FALSE
ENSG00000174013,0.42876291537616523,Yes,FALSE
ENSG00000136754,0.19115789126710095,Yes,FALSE
ENSG00000155090,0.3293619516051116,Yes,FALSE
ENSG00000111669,0.3589129062743403,Yes,FALSE
ENSG00000124143,-1.375596521856959,Yes,FALSE
ENSG00000196187,-0.450146619494412,Yes,FALSE
ENSG00000114209,0.3280195935208631,Yes,FALSE
ENSG00000167711,-0.7197341171623782,Yes,FALSE
ENSG00000197905,0.40280105032437213,Yes,FALSE
ENSG00000104549,0.4869743062544902,Yes,FALSE
ENSG00000112343,-0.2976018024123648,Yes,FALSE
ENSG00000003402,-0.3102878617942967,Yes,FALSE
ENSG00000143179,0.5992373848298479,Yes,FALSE
ENSG00000049323,0.4648431168000695,Yes,FALSE
ENSG00000087302,0.2745808681327096,Yes,FALSE
ENSG00000023734,0.2586196235798635,Yes,FALSE
ENSG00000128272,0.2306511250201091,Yes,FALSE
ENSG00000091262,-0.7893370248014018,Yes,FALSE
ENSG00000100528,0.21500466528865136,Yes,FALSE
ENSG00000087494,1.662897488052321,Yes,FALSE
ENSG00000111142,0.20872395361200966,Yes,FALSE
ENSG00000139620,0.20116804015278197,Yes,FALSE
ENSG00000103197,-0.3559844804880948,Yes,FALSE
ENSG00000198015,0.2226025829035909,Yes,FALSE
ENSG00000155066,-0.8140204045349956,Yes,FALSE
ENSG00000124839,-0.7937120149273584,Yes,FALSE
ENSG00000165502,0.2347205401383934,Yes,FALSE
ENSG00000164978,0.39026369242222225,Yes,FALSE
ENSG00000071054,0.29231029629626076,Yes,FALSE
ENSG00000081791,-0.2346203103750421,Yes,FALSE
ENSG00000213918,-0.3668598616367558,Yes,FALSE
ENSG00000124602,-0.7955105375206774,Yes,FALSE
ENSG00000100934,0.2763461022680653,Yes,FALSE
ENSG00000170412,-0.7633023500824974,Yes,FALSE
ENSG00000142675,-0.44604399302181186,Yes,FALSE
ENSG00000136938,0.2477622269167664,Yes,FALSE
ENSG00000168306,-0.6413785816642618,Yes,FALSE
ENSG00000198203,-0.8851148848047842,Yes,FALSE
ENSG00000140688,-0.33753208076592617,Yes,FALSE
ENSG00000120526,0.28763589781775306,Yes,FALSE
ENSG00000019582,-0.4620031071573484,Yes,FALSE
ENSG00000117394,0.9705059933382472,Yes,FALSE
ENSG00000183955,0.27766629803115384,Yes,FALSE
ENSG00000152256,0.4421020784027426,Yes,FALSE
ENSG00000197771,0.1613394103528031,Yes,FALSE
ENSG00000158286,-0.4745705687728295,Yes,FALSE
ENSG00000114416,0.33299185490499716,Yes,FALSE
ENSG00000002726,-1.3847335345925653,Yes,FALSE
ENSG00000196968,0.2351819725481569,Yes,FALSE
ENSG00000143390,-0.2679061662320295,Yes,FALSE
ENSG00000232629,-0.7929457545140202,Yes,FALSE
ENSG00000164626,-0.7992927273843301,Yes,FALSE
ENSG00000088899,-0.5555149855782977,Yes,FALSE
ENSG00000143228,0.6083993991442829,Yes,FALSE
ENSG00000095209,0.37997871435326513,Yes,FALSE
ENSG00000091527,0.21588828326079126,Yes,FALSE
ENSG00000073350,-0.6121028236646783,Yes,FALSE
ENSG00000070087,0.7431859470158966,Yes,FALSE
ENSG00000155508,-0.26016405911864876,Yes,FALSE
ENSG00000168010,-0.38861764280221855,Yes,FALSE
ENSG00000141556,-0.2917633361719075,Yes,FALSE
ENSG00000139697,0.21394349648614788,Yes,FALSE
ENSG00000203880,-0.25890917420544735,Yes,FALSE
ENSG00000157353,-0.3303264508765105,Yes,FALSE
ENSG00000173812,0.19656022324419875,Yes,FALSE
ENSG00000196754,1.5332327096980018,Yes,FALSE
ENSG00000136026,0.2890143903627312,Yes,FALSE
ENSG00000013364,-0.4373273396307431,Yes,FALSE
ENSG00000157557,0.3910143485572201,Yes,FALSE
ENSG00000120254,0.2702953392330525,Yes,FALSE
ENSG00000122515,-0.4177673350163609,Yes,FALSE
ENSG00000175309,-0.25325502448195547,Yes,FALSE
ENSG00000019549,0.7035009618126454,Yes,FALSE
ENSG00000169895,-0.23845068629289218,Yes,FALSE
ENSG00000181788,0.39425709900454436,Yes,FALSE
ENSG00000149531,0.36037267745854773,Yes,FALSE
ENSG00000100504,0.6135855914633169,Yes,FALSE
ENSG00000196535,-0.2787452083119604,Yes,FALSE
ENSG00000162069,-0.6206366214021963,Yes,FALSE
ENSG00000206337,-0.4503038993696248,Yes,FALSE
ENSG00000117616,-0.2921940489223974,Yes,FALSE
ENSG00000112812,-0.4556780382405243,Yes,FALSE
ENSG00000169660,-0.40246899146717086,Yes,FALSE
ENSG00000156831,0.23192196649054092,Yes,FALSE
ENSG00000178971,-0.2559408560332918,Yes,FALSE
ENSG00000198563,-0.30954733789571504,Yes,FALSE
ENSG00000144713,0.2480532949058366,Yes,FALSE
